,index,Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,0,1,60,0,8450,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0,196.0,0,0,0,0,0,0,0,706,0,0,150,856,0,0,0,0,856,854,0,1710,1,0,2,1,3,1,0,8,0,0,0,0,0.0,0,2,548,0,0,0,0,61,0,0,0,0,0,0,0,0,2,2008,0,0,208500
1,1,2,20,0,9600,0,0,0,0,0,1,0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1,0.0,1,0,1,0,0,1,1,978,0,0,284,1262,0,0,0,0,1262,0,0,1262,0,1,2,0,3,1,1,6,0,1,1,0,1.0,0,2,460,0,0,0,298,0,0,0,0,0,0,0,0,0,5,2007,0,0,181500
2,2,3,60,0,11250,0,0,1,0,0,0,0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0,162.0,0,0,0,0,0,2,0,486,0,0,434,920,0,0,0,0,920,866,0,1786,1,0,2,1,3,1,0,6,0,1,1,0,2.0,0,2,608,0,0,0,0,42,0,0,0,0,0,0,0,0,9,2008,0,0,223500
3,3,4,70,0,9550,0,0,1,0,0,2,0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1,0.0,1,0,2,1,1,0,1,216,0,0,540,756,0,1,0,0,961,756,0,1717,1,0,1,0,3,1,0,7,0,1,2,1,3.0,1,3,642,0,0,0,0,35,272,0,0,0,0,0,0,0,2,2006,0,1,140000
4,4,5,60,0,14260,0,0,1,0,0,1,0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0,350.0,0,0,0,0,0,3,0,655,0,0,490,1145,0,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,0,9,0,1,1,0,4.0,0,3,836,0,0,0,192,84,0,0,0,0,0,0,0,0,12,2008,0,0,250000
5,5,6,50,0,14115,0,0,1,0,0,0,0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1,0.0,1,0,3,0,0,0,0,732,0,0,64,796,0,0,0,0,796,566,0,1362,1,0,1,1,1,1,1,5,0,0,0,0,5.0,1,2,480,0,0,0,40,30,0,320,0,0,0,1,1,700,10,2009,0,0,143000
6,6,7,20,0,10084,0,0,0,0,0,0,0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2,186.0,0,0,0,2,0,3,0,1369,0,0,317,1686,0,0,0,0,1694,0,0,1694,1,0,2,0,3,1,0,7,0,1,2,0,6.0,0,2,636,0,0,0,255,57,0,0,0,0,0,0,0,0,8,2007,0,0,307000
7,7,8,60,0,10382,0,0,1,0,0,2,0,6,2,0,0,0,7,6,1973,1973,0,0,3,3,2,240.0,1,0,1,0,0,2,1,859,1,32,216,1107,0,0,0,0,1107,983,0,2090,1,0,2,1,3,1,1,7,0,2,1,0,7.0,0,2,484,0,0,0,235,204,228,0,0,0,0,0,1,350,11,2009,0,0,200000
8,8,9,50,1,6120,0,0,0,0,0,0,0,7,3,0,0,2,7,5,1931,1950,0,0,4,2,1,0.0,1,0,2,1,0,0,2,0,0,0,952,952,0,1,0,1,1022,752,0,1774,0,0,2,0,2,2,1,8,1,2,1,1,8.0,1,2,468,1,0,0,90,0,205,0,0,0,0,0,0,0,4,2008,0,1,129900
9,9,10,190,0,7420,0,0,0,0,0,2,0,8,3,1,1,3,5,6,1939,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,0,851,0,0,140,991,0,0,0,0,1077,0,0,1077,1,0,1,0,2,2,1,5,0,2,1,0,9.0,0,1,205,2,0,0,0,4,0,0,0,0,0,0,0,0,1,2008,0,0,118000
